Country,Year,ISO3166_alpha3,ISO3166_numeric,Region,SubRegion,OPEC,EU,OECD,CIS,Var,Value
Algeria,1970,DZA,12,Africa,Northern Africa,1,0,0,0,gasprod_bcm,2.4380125
Algeria,1970,DZA,12,Africa,Northern Africa,1,0,0,0,gasprod_ej,0.08776845
Algeria,1970,DZA,12,Africa,Northern Africa,1,0,0,0,hydro_ej,0.002088
Algeria,1970,DZA,12,Africa,Northern Africa,1,0,0,0,hydro_twh,0.58
Algeria,1970,DZA,12,Africa,Northern Africa,1,0,0,0,hydro_twh_net,0.5742
Algeria,1970,DZA,12,Africa,Northern Africa,1,0,0,0,liqcons_kbd,43.00991781
Algeria,1970,DZA,12,Africa,Northern Africa,1,0,0,0,nuclear_ej,0
Algeria,1970,DZA,12,Africa,Northern Africa,1,0,0,0,nuclear_twh,0
Algeria,1970,DZA,12,Africa,Northern Africa,1,0,0,0,nuclear_twh_net,0
Algeria,1970,DZA,12,Africa,Northern Africa,1,0,0,0,oilcons_ej,0.087651648
Algeria,1970,DZA,12,Africa,Northern Africa,1,0,0,0,oilcons_kbd,43.00991781
Algeria,1970,DZA,12,Africa,Northern Africa,1,0,0,0,oilcons_mt,2.032
Algeria,1970,DZA,12,Africa,Northern Africa,1,0,0,0,oilprod_crudecond_kbd,1029.195342
Algeria,1970,DZA,12,Africa,Northern Africa,1,0,0,0,oilprod_kbd,1053.926849
Algeria,1970,DZA,12,Africa,Northern Africa,1,0,0,0,oilprod_mt,48.3134937
Algeria,1970,DZA,12,Africa,Northern Africa,1,0,0,0,oilprod_ngl_kbd,24.73150685
Algeria,1970,DZA,12,Africa,Northern Africa,1,0,0,0,pop,13.78372
Algeria,1970,DZA,12,Africa,Northern Africa,1,0,0,0,refcap_kbd,57.73630137
Algeria,1970,DZA,12,Africa,Northern Africa,1,0,0,0,ren_power_ej,0.002088
Algeria,1970,DZA,12,Africa,Northern Africa,1,0,0,0,renewables_ej,0.002088
Algeria,1970,DZA,12,Africa,Northern Africa,1,0,0,0,solar_ej,0
Algeria,1970,DZA,12,Africa,Northern Africa,1,0,0,0,tes_ej,0.128245845
Algeria,1970,DZA,12,Africa,Northern Africa,1,0,0,0,tes_gj_pc,9.304153378
Algeria,1970,DZA,12,Africa,Northern Africa,1,0,0,0,wind_ej,0
Algeria,1971,DZA,12,Africa,Northern Africa,1,0,0,0,biogeo_ej,0
Algeria,1971,DZA,12,Africa,Northern Africa,1,0,0,0,co2_combust_mtco2,8.930844279
Algeria,1971,DZA,12,Africa,Northern Africa,1,0,0,0,co2_combust_pc,0.010145322
Algeria,1971,DZA,12,Africa,Northern Africa,1,0,0,0,co2_combust_per_ej,156.2090646
Algeria,1971,DZA,12,Africa,Northern Africa,1,0,0,0,coalcons_ej,0.000962964
Algeria,1971,DZA,12,Africa,Northern Africa,1,0,0,0,gascons_bcfd,0.106906675
Algeria,1971,DZA,12,Africa,Northern Africa,1,0,0,0,gascons_bcm,1.10495
Algeria,1971,DZA,12,Africa,Northern Africa,1,0,0,0,gascons_ej,0.039778199
Algeria,1971,DZA,12,Africa,Northern Africa,1,0,0,0,gasprod_bcfd,0.248641831
Algeria,1971,DZA,12,Africa,Northern Africa,1,0,0,0,gasprod_bcm,2.569875
Algeria,1971,DZA,12,Africa,Northern Africa,1,0,0,0,gasprod_ej,0.092515498
Algeria,1971,DZA,12,Africa,Northern Africa,1,0,0,0,hydro_ej,0.001188
Algeria,1971,DZA,12,Africa,Northern Africa,1,0,0,0,hydro_twh,0.33
Algeria,1971,DZA,12,Africa,Northern Africa,1,0,0,0,hydro_twh_net,0.3267
Algeria,1971,DZA,12,Africa,Northern Africa,1,0,0,0,liqcons_kbd,48.87849315
Algeria,1971,DZA,12,Africa,Northern Africa,1,0,0,0,nuclear_ej,0
Algeria,1971,DZA,12,Africa,Northern Africa,1,0,0,0,nuclear_twh,0
Algeria,1971,DZA,12,Africa,Northern Africa,1,0,0,0,nuclear_twh_net,0
Algeria,1971,DZA,12,Africa,Northern Africa,1,0,0,0,oilcons_ej,0.098784178
Algeria,1971,DZA,12,Africa,Northern Africa,1,0,0,0,oilcons_kbd,48.87849315
